recipient,tokenId,amount,date
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,1,0.06,2024/2/3 20:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,1,0.06,2024/2/3 20:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,3,0.1,2024/2/3 23:32:48
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,3,0.1,2024/2/3 23:32:48
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,4,0.1,2024/2/3 23:41:19
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,4,0.1,2024/2/3 23:41:19
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,8,0.04,2024/2/4 1:12:30
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,8,0.04,2024/2/4 1:12:30
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,8,0.1,2024/2/4 1:15:08
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,8,0.1,2024/2/4 1:15:08
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,8,0.1,2024/2/4 1:15:08
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.51,2024/2/5 17:54:09
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.51,2024/2/5 17:54:09
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.52,2024/2/5 18:09:14
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.52,2024/2/5 18:09:14
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.52,2024/2/5 18:09:14
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.06,2024/2/5 18:10:35
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.06,2024/2/5 18:10:35
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.06,2024/2/5 18:10:35
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,11,0.06,2024/2/5 18:10:35
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.04,2024/2/5 18:13:48
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.04,2024/2/5 18:13:48
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.05,2024/2/5 18:15:15
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.05,2024/2/5 18:15:15
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.05,2024/2/5 18:15:15
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,2.04,2024/2/5 18:19:13
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.36,2024/2/5 18:19:13
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.3,2024/2/5 18:19:13
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.24,2024/2/5 18:19:13
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.08,2024/2/5 18:33:36
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.08,2024/2/5 18:33:36
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.08,2024/2/5 18:33:36
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.08,2024/2/5 18:33:36
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.08,2024/2/5 18:33:36
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.1,2024/2/5 18:36:41
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:37:39
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,12,0.15,2024/2/5 18:38:22
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0,2024/2/5 18:51:25
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0,2024/2/5 18:51:25
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,1,2024/2/5 18:53:44
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0.52,2024/2/5 18:53:44
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0.36,2024/2/5 18:53:44
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0,2024/2/5 18:58:57
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0,2024/2/5 18:58:57
0x8C91A0BA9871834D630d062FC73E123Ce65D78Cc,13,0,2024/2/5 18:58:57
